source,target,content
SOREADY4LUV,tracie_world,non tweet
SOREADY4LUV,SOREADY4LUV,tweet
SheepReiver,JoeBiden,non tweet
SOREADY4LUV,SOREADY4LUV,tweet
SOREADY4LUV,Official1SP,non tweet
SOREADY4LUV,tracie_world,non tweet
HomelandAfrika,Arise4freedom,non tweet
SOREADY4LUV,Official1SP,non tweet
SOREADY4LUV,tracie_world,non tweet
Contakk,Contakk,tweet
SOREADY4LUV,Official1SP,non tweet
SOREADY4LUV,tracie_world,non tweet
PanAfricology,PanAfricology,tweet
SOREADY4LUV,Official1SP,non tweet
SOREADY4LUV,tracie_world,non tweet
SOREADY4LUV,Official1SP,non tweet
SOREADY4LUV,tracie_world,non tweet
droitanglais,droitanglais,tweet
FreePeterAdams,shaunking,non tweet
FreePeterAdams,MarilynMosbyEsq,non tweet
VackahBot,VackahBot,tweet
TJ_Jazz_Madrid,TJ_Jazz_Madrid,tweet
PanAfricology,PanAfricology,tweet
DaddyDoggo5,Blklivesmatter,non tweet
MigrantifaNrw,nwortstoppen,non tweet
SOREADY4LUV,Official1SP,non tweet
SOREADY4LUV,tracie_world,non tweet
SOREADY4LUV,evryonesacritic,non tweet
CoachDecember,CoachDecember,tweet
RepublicMighty,USMC,non tweet
geeawnuuh,geeawnuuh,tweet
fananhailu,fananhailu,tweet
AVALANCHE_RAP,AVALANCHE_RAP,tweet
SOREADY4LUV,C_Dizzle123,non tweet
SofiaLedGang,SofiaLedGang,tweet
SOREADY4LUV,Official1SP,non tweet
SOREADY4LUV,tracie_world,non tweet
LiveLifeLuvWell,JpTrumpower,non tweet
LiveLifeLuvWell,OnlineDetective,non tweet
LiveLifeLuvWell,RexChapman,non tweet
PanAfricology,PanAfricology,tweet
SOREADY4LUV,SOREADY4LUV,tweet
SOREADY4LUV,SOREADY4LUV,tweet
SOREADY4LUV,tracie_world,non tweet
SOREADY4LUV,Official1SP,non tweet
AVALANCHE_RAP,AVALANCHE_RAP,tweet
mtribue28,mtribue28,tweet
McKenzi15620645,McKenzi15620645,tweet
mtribue28,mtribue28,tweet
iPebby,pathethuis,non tweet
guringtarus,guringtarus,tweet
mrblackcat1069,mrblackcat1069,tweet
granularvaley,Peppermint247,non tweet
granularvaley,DearestOsasO,non tweet
mrblackcat1069,mrblackcat1069,tweet
AVALANCHE_RAP,AVALANCHE_RAP,tweet
BeingWhiteIsGr8,BeingWhiteIsGr8,tweet
HomelandAfrika,funshographix,non tweet
BChazser,BChazser,tweet
floridafreshoj,brandontjackson,non tweet
SenRimaan,SenRimaan,tweet
ToniMiLady,nowthisnews,non tweet
TheLivesThatMtr,TheLivesThatMtr,tweet
Ann____99,LEXPRESS,non tweet
blacklivesbot,blacklivesbot,tweet
Astonvanila,Astonvanila,tweet
BullyEra,BullyEra,tweet
ig33ku,ig33ku,tweet
antgilbax,JoeBiden,non tweet
antgilbax,POTUS44,non tweet
antgilbax,amjoyshow,non tweet
antgilbax,Lawrence,non tweet
antgilbax,flickmyNICK,non tweet
chazarac,JoeBiden,non tweet
fanfare100,fanfare100,tweet
PhillipMartin2,PhillipMartin2,tweet
jelly_turtle,jelly_turtle,tweet
Only1DaniB,Only1DaniB,tweet
hanjangho76,hanjangho76,tweet
Daphne_488,shane_holmberg,non tweet
Daphne_488,DownWithDuopoly,non tweet
Daphne_488,BDemocratsfor,non tweet
Daphne_488,KevinPDennis,non tweet
