source,target,content
ZakumeiAD,ZakumeiAD,tweet
FaveRTsMagazine,FLAWLESSLUCKI,non tweet
FaveRTsMagazine,sweatsXstew,non tweet
traychaney,traychaney,tweet
AllanaG13,Pastoral_Leader,non tweet
thatchelseagirl,RobThatClass,non tweet
thatchelseagirl,annehelen,non tweet
yeeeyeetoni,yeeeyeetoni,tweet
cut_the_crap_ec,BorisJohnson,non tweet
cut_the_crap_ec,mssassysally,non tweet
cut_the_crap_ec,pritipatel,non tweet
RyanBurns1709,RyanBurns1709,tweet
SeoJeon1,I_Am_Spring_Day,non tweet
yuckze,yuckze,tweet
BTSxSasha,BTS_twt,non tweet
ZenYinger,Twitter,non tweet
pwguru65,WWEUniverse,non tweet
pwguru65,JohnnyGargano,non tweet
pwguru65,RealKeithLee,non tweet
Xinying68016461,Xinying68016461,tweet
Zclem26,Nas2four,non tweet
Zclem26,vizini8,non tweet
Zclem26,TimTebow,non tweet
PaolaCarrasco27,PaolaCarrasco27,tweet
Katia_Serafim,Katia_Serafim,tweet
AlyssaRaymond,TanorriasTable,non tweet
Sensatski,Sensatski,tweet
WDJ_5814,IlhanMN,non tweet
WDJ_5814,Ilhan,non tweet
WDJ_5814,realDonaldTrump,non tweet
NaeemDalal,NaeemDalal,tweet
kaylaxvictoria,RealKeithLee,non tweet
AlArabiya_Eng,AlArabiya_Eng,tweet
SandraJNowakow1,SandraJNowakow1,tweet
UN_HEAD,BenjaminPDixon,non tweet
kimpark2017,kimpark2017,tweet
kgbrooks1370,JBolden50,non tweet
Loversrock10,Loversrock10,tweet
NewWaysMinistry,NewWaysMinistry,tweet
Payasa1,Payasa1,tweet
TheMoreTheMary_,byar_be,non tweet
ShaniyaRena,ShaniyaRena,tweet
offline_baby_,offline_baby_,tweet
delicateaf,delicateaf,tweet
nelsonn_x33,nelsonn_x33,tweet
murray_nyc,murray_nyc,tweet
fentyscake,fentyscake,tweet
MARS0rbit,MARS0rbit,tweet
SteveSilent,SteveSilent,tweet
BlacLitterateur,BlacLitterateur,tweet
Jasmine__Bunn,Jasmine__Bunn,tweet
iAmZuriKing,iAmZuriKing,tweet
MelSchaefer8799,MelSchaefer8799,tweet
GeorgeEJonesJr,GeorgeEJonesJr,tweet
Kyle_Schowalker,Kyle_Schowalker,tweet
Valnofux,Valnofux,tweet
schmidtim,DrHansenCS,non tweet
schmidtim,tscmacdonald,non tweet
schmidtim,keex0003,non tweet
schmidtim,FNCastellano,non tweet
schmidtim,SarahMastersChC,non tweet
ComedyMontreal,ComedyMontreal,tweet
AhoraFreedom,GirmayZahilay,non tweet
lipstainedjoon,lipstainedjoon,tweet
mdthomas714,mdthomas714,tweet
MsBDowns,MsBDowns,tweet
LeslieT030416,LeslieT030416,tweet
ErinJones1701,ErinJones1701,tweet
FeoChin,FeoChin,tweet
bluesclera_,bluesclera_,tweet
Dr_ACornelius,cnn,non tweet
Dr_ACornelius,MSNBC,non tweet
Dr_ACornelius,JoeBiden,non tweet
Dr_ACornelius,BarackObama,non tweet
Dr_ACornelius,mmpadellan,non tweet
Dr_ACornelius,Reuters,non tweet
Dr_ACornelius,RepAdamSchiff,non tweet
Dr_ACornelius,SenSchumer,non tweet
Dr_ACornelius,SpeakerPelosi,non tweet
Dr_ACornelius,SocialPowerOne1,non tweet
Dr_ACornelius,TomPerez,non tweet
Dr_ACornelius,donlemon,non tweet
Dr_ACornelius,AC360,non tweet
virtuouskarma,virtuouskarma,tweet
MariaHuston14,MariaHuston14,tweet
hitnhomeboy,BravoTV,non tweet
hitnhomeboy,Andy,non tweet
elmostru,NASCAR,non tweet
AestheticSprkls,actblue,non tweet
manny_man97,manny_man97,tweet
anxiety_mostly,anxiety_mostly,tweet
Jayduboo,Jayduboo,tweet
Totallysamsays,Totallysamsays,tweet
Richie__Samuels,Richie__Samuels,tweet
Rosemar41833206,realDonaldTrump,non tweet
yosoyico,yosoyico,tweet
GPete_16,GPete_16,tweet
Brandon_TylerH,RealKeithLee,non tweet
nickk0927,nickk0927,tweet
RufusHenderso11,Oprah,non tweet
RufusHenderso11,tylerperry,non tweet
RufusHenderso11,oprahmagazine,non tweet
PaolaCarrasco27,PaolaCarrasco27,tweet
kJX2020,LatestAnonNews,non tweet
Wordnerd218,Wordnerd218,tweet
Rolandvanking,N_AmerSolutions,non tweet
Rolandvanking,Pby1000,non tweet
MaryHThomas1,MaryHThomas1,tweet
coachtrump,coachtrump,tweet
gh3tto8uddha,gh3tto8uddha,tweet
JohnathanPerk,JohnathanPerk,tweet
mdf200,mikeBithell,non tweet
abrahamcho,abrahamcho,tweet
KSmithGreen,KSmithGreen,tweet
BTSGlobalNoona_,BTS_twt,non tweet
BTSGlobalNoona_,OneInAnARMY,non tweet
ie_Dymez,ie_Dymez,tweet
DivinelyMeghan,honestlylivin,non tweet
DivinelyMeghan,scobie,non tweet
ODamnDell,ODamnDell,tweet
Jeremymbiba,Jeremymbiba,tweet
Meredit05881052,realDonaldTrump,non tweet
Meredit05881052,TeamTrump,non tweet
Meredit05881052,SenKamalaHarris,non tweet
Meredit05881052,BarackObama,non tweet
Meredit05881052,AprilDRyan,non tweet
HouseOfRedRobin,nubiannigisti,non tweet
myron_hester,LawrenceSpaul17,non tweet
rhi_spawn_,MarkZuckerburg_,non tweet
ShowStopWrestle,ShowStopWrestle,tweet
leo_alves2,leo_alves2,tweet
Lola15363615,Lola15363615,tweet
ohheyjenna,ohheyjenna,tweet
bubbbahoe,bubbbahoe,tweet
zeljkahiter,BTS_twt,non tweet
UlissesMaia,UlissesMaia,tweet
_sonyeondrunk,_sonyeondrunk,tweet
ijb19662,sajidjavid,non tweet
ijb19662,Conservatives,non tweet
KellyDChandler,AlanCalvert,non tweet
_hollyannesmith,_hollyannesmith,tweet
LogowearAus,LogowearAus,tweet
justinhopps,justinhopps,tweet
deadlinederek,deadlinederek,tweet
Queen_BNK,Queen_BNK,tweet
Prissy_girl64,shawnwasabi,non tweet
