source,target,content
GabbieRose26,Robyn_CherCrew,non tweet
GabbieRose26,oliver_mischa,non tweet
GabbieRose26,CallIngYOUout71,non tweet
GabbieRose26,kk_kohl,non tweet
ShellKell47,wsbtv,non tweet
M_a_s_h_a_____,TheDemocrats,non tweet
JamesPlain1,Jimmy_H20,non tweet
JamesPlain1,DJSHANEGO,non tweet
JamesPlain1,mdr510music,non tweet
derpy_smiler,derpy_smiler,tweet
DrBHotchkins,DrBHotchkins,tweet
jamesarelonhard,NAACP,non tweet
jamesarelonhard,ACLU,non tweet
jamesarelonhard,IntlCrimCourt,non tweet
Matelot1325,Matelot1325,tweet
littlelillykc,littlelillykc,tweet
andrrrres33,andrrrres33,tweet
1StellarHeart,1StellarHeart,tweet
CapedCrusader40,CapedCrusader40,tweet
Midu_Life,Midu_Life,tweet
Rjs677Stephan,WhiteHouse,non tweet
theblackssheep,BBCNews,non tweet
thequ4nt,DNC,non tweet
thequ4nt,DNC,non tweet
thequ4nt,SpeakerPelosi,non tweet
thequ4nt,GeorgeFloyd,non tweet
DAIMOAI1,DAIMOAI1,tweet
Cursed_Druid,Cursed_Druid,tweet
lairbones,lairbones,tweet
dramaroom1,dramaroom1,tweet
DeeDiggz,DeeDiggz,tweet
palwales,CliveMyrieBBC,non tweet
marwan_abe,marwan_abe,tweet
boulo_don,boulo_don,tweet
jhourihane,jhourihane,tweet
DCJReviews,DCJReviews,tweet
brwngrl17,nowthisnews,non tweet
livfisher,livfisher,tweet
CoreyRachel,MassGovernor,non tweet
chrisinho_do,chrisinho_do,tweet
thequ4nt,DNC,non tweet
thequ4nt,DNC,non tweet
thequ4nt,SpeakerPelosi,non tweet
thequ4nt,GeorgeFloyd,non tweet
DonRayBandz,DonRayBandz,tweet
rosequartzdiva,AprilDRyan,non tweet
rosequartzdiva,ravenlani_,non tweet
rosequartzdiva,tariqnasheed,non tweet
rosequartzdiva,ava,non tweet
rosequartzdiva,YNB,non tweet
rosequartzdiva,CityofAtlanta,non tweet
rosequartzdiva,blackoutkast,non tweet
rosequartzdiva,KeishaBottoms,non tweet
rosequartzdiva,lexiekiah_4,non tweet
CTpatriot1776,JesseKellyDC,non tweet
CTpatriot1776,Yale,non tweet
CTpatriot1776,CTDems,non tweet
diverdown48,diverdown48,tweet
resistco95,realDonaldTrump,non tweet
ElyseEA,ElyseEA,tweet
kevparks2,Nigel_Farage,non tweet
TakeALark,TakeALark,tweet
UGALECUYER,UGALECUYER,tweet
debbiestoops,debbiestoops,tweet
BirthgiverLynn,theangiestanton,non tweet
BirthgiverLynn,realDonaldTrump,non tweet
KYCara,KYCara,tweet
BeTheChampionUR,AnonWrecks,non tweet
BeTheChampionUR,OpDeathEaters,non tweet
Edgr_Olsmn,jannamarrria,non tweet
mjneskin,mjneskin,tweet
pookie411,pookie411,tweet
dina10310,dina10310,tweet
TheRealDannyDj,TheRealDannyDj,tweet
advertisingbish,LisaFrank,non tweet
advertisingbish,MGAEnt,non tweet
dantevos95,dantevos95,tweet
WaywardCoug,jarpad,non tweet
marceljuliani,marceljuliani,tweet
ndaavudzi,ndaavudzi,tweet
ScottPBoyd,ScottPBoyd,tweet
ManUreport_,PrinceKaybee_SA,non tweet
1StellarHeart,1StellarHeart,tweet
kimbo1942,kimbo1942,tweet
carlson_ethan,carlson_ethan,tweet
LISprochat,LISprochat,tweet
SNDaniels0600,SNDaniels0600,tweet
thequ4nt,DNC,non tweet
thequ4nt,DNC,non tweet
thequ4nt,SpeakerPelosi,non tweet
thequ4nt,GeorgeFloyd,non tweet
artbycarmelita,artbycarmelita,tweet
mayaspitalnik,mayaspitalnik,tweet
Jaredpaddaily,jarpad,non tweet
tgilbt,jarpad,non tweet
msaric10,msaric10,tweet
ferdimagellan2,ferdimagellan2,tweet
addictedtoLiIo,addictedtoLiIo,tweet
RivetingBologna,RivetingBologna,tweet
KercenaDozier,GaryChambersJr,non tweet
Supernalwings,AMNH,non tweet
Supernalwings,NMAAHC,non tweet
ButterflyMom322,brianlewis3282,non tweet
ButterflyMom322,sergeivote,non tweet
ButterflyMom322,blu,non tweet
ButterflyMom322,michelle_spenc,non tweet
ButterflyMom322,BrendaBalazs,non tweet
ButterflyMom322,GulliAz,non tweet
ButterflyMom322,Texy_Liz,non tweet
ButterflyMom322,katalva3,non tweet
ButterflyMom322,RexThomresist45,non tweet
ButterflyMom322,BobA1959,non tweet
ButterflyMom322,Ziggie_zaggie,non tweet
ButterflyMom322,elder_jodi,non tweet
ButterflyMom322,catcatdean,non tweet
ButterflyMom322,knomia,non tweet
ButterflyMom322,RonStewart207,non tweet
ButterflyMom322,MichaelPacholek,non tweet
ButterflyMom322,Samiknowsbest1,non tweet
owpierre,owpierre,tweet
hiiiii920,hiiiii920,tweet
TBlokest,davenewworld_2,non tweet
TBlokest,pattykvilla,non tweet
janetw58,realDonaldTrump,non tweet
BeTheChampionUR,AttorneyCrump,non tweet
BeTheChampionUR,Anons_revenge,non tweet
BeTheChampionUR,OpDeathEaters,non tweet
LeslyValbrun,ChallengePetro,non tweet
DjMontecito,DjMontecito,tweet
IVoteClimate,realDonaldTrump,non tweet
parrishVII,parrishVII,tweet
abdallahandy,abdallahandy,tweet
IshTheGeminiii,IshTheGeminiii,tweet
iamsaimarh,laolukong,non tweet
PuckHead313,PuckHead313,tweet
GavinAyling,GavinAyling,tweet
thequ4nt,DNC,non tweet
thequ4nt,DNC,non tweet
thequ4nt,SpeakerPelosi,non tweet
thequ4nt,GeorgeFloyd,non tweet
DavidFDodge1,DS65445156,non tweet
